rating,review,name,address
5,"Fantastic meal starting with warm pretzel rolls, Thai chili calamari and tuna roll apps. Followed by mains of: lobster, snapper, sea bass.Sides make the meaThe sides of creamed spinach, Brussel sprouts, roasted corn, and broccoli. All incredible!! Â Service was fantastic!!Back again for the second time. This time I had the scallops and clam chowder. Incredible. Scallops were perfectly prepared on a bed of risotto. Clam chowder was superb.",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
5,"Atmosphere: sophisticated, high energy, but also had a laid-back, almost retro kind of elegance. Most patrons were impeccably dressed for upscale/night on the town, although I did see a few in ripped jeans and tank tops, who should have been turned away. It's not a trashy nightclub, folks.I had the beat manhattan, the best crab, and the best creme brÃ»lÃ©e ever here.Service: Impeccable. Our server was patient, delightful and genuinely cared for our entire experience. My husband, 12 year old son and I were in a smaller dining room with an incredibly loud, unruly group of people who were drunk and swearing. We couldn't even hear each other speak. The waitress noticed our discomfort (especially our son, who has issues with overwhelming noise) and the dining room manager found another place for us to enjoy our meal. A cozy booth in the main dining area. Our biggest worry was that we'd have another server perhaps not as wonderful as Sabrina, but she let us know she'd be taking care of us. The dining room manager came by to make sure everything was okay.Now the food: Fantastic. We enjoyed the truffle deviled eggs with caviar, and the ""smoking"" shrimp cocktail. My son had a beautiful 6 oz filet mignon and king crab legs. Husband had the sea bass, and I enjoyed an off-menu salmon with a crab saladOn top. For sides we chose the lobster mashed potatoes and spinach. Both were very good. I got to try a little of everything! We barely had room for dessert but couldn't resist. Baked Alaska, carrot cake, and creme brÃ»lÃ©e were outstanding. We hardly finished half, because Sabrina brought us butter cake to try as well. Divine!I can't say enough good things about Ocean Prime. We weren't there for any special occasion, just in town for a memorial service and wanted a great meal. They made us feel special and cared for, in addition to serving up amazing food and drink. You can't really ask for more than that. Bill was $347 and worth every penny.",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
5,"Happy birthday to meeeeeeeee!!!This year was super low key as I had a lovely dinner with my mom (last year I was in Europe).Everything was amazing! The food (piping hot, fresh and cooked to perfection), service, live music and ambiance.The hostesses are all so sweet and friendly. It was very lovely interacting with them all upon entry. They definitely set the tone. Thanks ladies!Our server was Alain C. He is kind, knowledgeable of all menus (cocktail and food) and had a great personality. He also made great recommendations - you must try the blackened snapper! I'm so glad Ocean Prime has been established in Boston (I'm in San Fran and the closest one to me is in Beverly Hills)...Overall it was a wonderful birthday and I am so happy that I celebrated at Ocean Prime!",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
5,"Our first time in Boston and wanted a nice dining experience. Ocean Prime did not disappoint. Everything from the service to the food was amazing. We had the Calamari which was so tender and delicious. Cream of Lobster soup, and a seafood dish. We took to go the chocolate, peanut butter desert. I would definitely dine here again!",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
5,"I won't tell you about the food, experience that all on your own.The SERVICE here is off the wall phenomenal.Ask for Derek Shaw and hope that Julie Beal is managing the night you're there! It's worth the price of admission and you'll want to come back for more!!!",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
3,"I went to Ocean Prime with a group of friends. Â I am not normally a ""steakhouse"" guy, in part because I find them overly expensive. Â I don't need a 24 oz steak tonight, thank you. Given the extensive seafood options on the menu, I had high hopes.The decor is sort of Las Vegas meets steakhouse -- perfectly nice, but nothing particularly exciting. Â The service was extremely attentive -- perhaps overly so -- but our waiter was extremely well-informed, had strong wine suggestions. Â The food was fine. Â Everyone was pleased with their dish, but frankly, I was somewhat underwhelmed with mine for the price. Â The spicy tuna sushi roll was decent, but I get better sushi at my local sushi place next to a gas station, and they don't charge $18 for a single roll (and theirs have more actual tuna). Â My scallops were nicely done, but the risotto that accompanied it was a bit of a cheesy mess. Â My companions were all pleased with their meals, so take my criticisms with a grain of salt.Bottom line: Â it is a perfectly fine restaurant that charges you an arm and a leg for food that was underwhelming and is done better at other restaurants. Â I left feeling full, but for what the meal cost, I wasn't satisfied.",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
5,"Best place in Boston! Big variety of all kinds and it's all 5 Star. Sushi apps, seafood and steak and all the sides like jalapeÃ±o potatoes, truffle Mac & Cheese and chopped corn house. The drinks are all great. The service is great. Levi was an outstanding waiter. I tried the surf & turf tonight. Amazing. My wife had the filet and lobster tail. You can't go wrong here.",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
5,Visited this location while in town for work. Overall this area is really building up and is growing into a very cute social area. We ate outside as the weather was perfect. We were the only table outside but felt we had good service and weren't forgotten. All of our dishes were a good size (larger than expected) and arrived quickly. Would definitely go again!,Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
4,"Late dinner here with work friends, they were full up for reservations when I checked online. It was no better when I called so we figured we'd just wait it out when we arrived. It worked out well. There was an open table in the bar area and we just stayed there for our starters and dinner.Calimari to start was excellent. Crispy, not heavily battered and very tasty. Great dish to share. The deviled eggs were great but I'm not sure why three eggs were $13. Tasty and tangy with mustard, topped with caviar? You couldn't taste the caviar at all.For main, I chose the Chilean sea bass. A nice cut, very well plated. Delicious, cooked properly. Nice and flaky.For dessert, we got one order of the ten layer carrot cake. It was good. Excellent presentation and quite fancy. The icing was light and not too sweet.Tip: Get the jalapeno potatoes au gratin. Yum!",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
1,"I'm honestly disappointed in ocean prime. Based on priced I would expect the food here to blow me out of the water. The food, in general is mediocre, and didn't taste very fresh. It is a chain so I'm not sure why I expected local lobster/seafood.. we are only in Boston seaport. We ordered the double lobster tail meal was almost 50 and for the price I was honestly surprised at how little meat came in here. Personally, I had the Caesar salad and added scallops. Please let me tell you that this salad is 12 dollars. Okay. It's a salad. Reasonable. When I asked for scallops it came with 4... and the total price was 40 dollars!! FORTY! For a salad with 4 scallops. Honestly WOW and the scallops weren't fresh and tasted fishy. I was so disappointed and actually had a mouth drop. Someone explain this to me. The one thing that saved it here was the carrot cake. Worth it. It's delicious.",Ocean Prime,"140 Seaport Blvd Boston, MA 02210"
