,rating,review,name,address
0,5,"Had a great time at Sassafras last night!! I had made reservations here for my father in laws birthday. We were greeted by friendly faces. The restaurant itself was adorable decorated with a homely, clean feel.Since this is a vegetarian and vegan restaurant, if you want real cheese with your meal or fake cheese, you have an option. Since we aren't vegan, we opted for real cheese and ordered the following:1.) Mac and cheese fried balls (5 stars) 2.) Bon me pizza (5 stars)3.) Impossible Big Mac Burger with fries (4 stars)4.) Spaghetti Eggplant Parmesan (came with garlic knots) (4 stars)5.) Chocolate Peanut Butter Chocolate Cake (5 stars)The food was really good! The portions were doubled which explains the larger price tag on menu items. When we come here again, we will probably opt to share an entree. The Mac and cheese balls were so delicious and definitely an indulgence. I was impressed at how good the Big Mac was! I thought the accompanying French fries could have used more work though. The pizza was delicious and is a must order if you like veggies and want to try something different. It's tangy and savory. Note that the chocolate cake was not on the menu but since we had seen it on social media, we asked about it and they brought us some. The cake slice was the size of my arm!!",Sassafras,"688 Broadway Somerville, MA 02144"
1,5,"Internet eaters, it is fair to say that this place blew my mind. We were huge fans of the former incarnation, Eat at Jumbo's, and devastated by the change. Then again, I'm a sucker for a Phoenix rising from the ashes of delicious pizza. Jumbos always had great vegetarian/vegan options, so I was interested to see what their menu would be like when it focused completely on those options. The decor is fresh and inviting--hubby and I both loved the flatware and the wooden pieces adorning the brick walls. Every dish that came out evinced gasps of ooh and aah. The food is so pretty! Gorgeous plating and so many colors. We opted to start with the appetizer special, buffalo cauliflower 'wings', as well as housemade Arnold Palmers. The wings were battered and baked and just perfect. I think the Arnold palmers had jasmine or something floral in them. I really enjoyed mine!For our mains, my husband had the Mozambique chorizo and I had the seitan ribs with Mac and cheese and garlic mashed potatoes. I can't say enough about how good everything was! We chatted with the owner during our visit, and he shared that everything except the Impossible Burger (tm) is made in house. Incredible! We finished up with the peanut butter chocolate cake, which was a meal in itself. So good. No one would ever guess it was completely vegan. What a special new place!",Sassafras,"688 Broadway Somerville, MA 02144"
2,1,"Hello! So first off I am not one to write reviews or comment on service but I believe that my experience at Sassafras should be spoken about. Just a background about the situation is I am getting married in August of next year and reached out to Grover (the owner) to talk about catering. We had a sit down talk with my fiancÃ©, maid of honor, Grover and his catering manager Christopher. Throughout the process Grover was Â argumentative and not very helpful. Christopher on the other hand was amazing. He is the reason I still wanted to go with them. We made a menu for my wedding and they told me that they could work within my budget. I then waited two months to get a quote from them just to find out it was $600 over my budget when I was reassured it would not be. In the meantime my fiancÃ© and I went there for his birthday dinner and Grover kept telling me that they could take their time with the quote because my wedding was so far away. When I then stated again that I was concerned about the timeline he kept saying we have time and brushed me off. Once I said I would get in touch with Christopher, Grover made it very clear that he is the owner of the business and Christopher was just in an employee. I consider that to be very rude to put down your employees especially the one that helps with his business so much. I facebook messaged Grover (he didn't want to email) and Christopher saying my concern about how they were 600 dollars over budget. I then got no response until a week later when I message them again. In return I got a message from Grover giving me his number saying call me anytime I called you and no answer.... I replied with telling him I did not receive a phone call. He had called me on Facebook messenger because he did not want to look up my phone number to call my phone. Â When I didn't answer fast enough for him he messaged me again stating he will honor his quote (the one way to high) and not willing to try and bring it down, for 30 days starting today and encouraged me to look elsewhere for catering. I responded with how upset I was about the whole situation and how I have been treated and that I will take my business elsewhere. Later that day I received a phone call from Grover yelling at me trying to defend the pricing, also telling me at that price he would be losing money and asked if I think it would be right if he lost money on my wedding, he became so aggressive that I could not speak to him any longer and had to tell him I needed to get off the phone. Very shaken by this encounter I just paused for a minute to take in what had just happened. He then incessantly kept texting me to the point of harassment. I strongly urged him to stop contacting me and said I do not know how you were still in business when you treat customers this way. I am so sorry for the long post but I strongly suggest that you do not deal with such an unprofessional person who is willing to scream at his customer. I would like to say that Christopher was amazing and very professional this post was not made for him it was made to warn anyone that is thinking of going to or catering from Sassafras. It really sucks because their food is amazing and I am not the person to ever write a bad thing especially with a vegan restaurant but I had to let people know of how awful the owner treated me.",Sassafras,"688 Broadway Somerville, MA 02144"
3,5,"Sassafras is a one of a kind restaurant. I stopped by before their renovations and rebranding to a vegan restaurant, and I can't get over the transformation. It is extremely exciting to watch a restaurant and group of people adapt to change and create something so unique. Their all vegan menu is the best I've seen. Vegan steaks, burgers, fish, fried eggs, and more. 100% vegan and fresh from their kitchen. The dedication they've put into this is extremely exciting for the vegan community and their food is fantastic -- vegan or not, anyone would enjoy I am thrilled to be close to Sassafras and continue to enjoy meals there!",Sassafras,"688 Broadway Somerville, MA 02144"
4,3,Excited by a new vegetarian/vegan restaurant and quickly stopped by. When I entered no staff were to be found and had to knock on the barn door to get someone's attention and when they showed they seemed affronted. Not a great first impression. Asked for a menu and was rather taken aback by their prices. Almost everything in the menu (desserts being the ONLY exception) was between $15-25. Chose not to eat there that evening so I can't review the food itself.,Sassafras,"688 Broadway Somerville, MA 02144"
5,2,"Good concept, poor execution. Famous seitan ribs were dry and had rubbery consistency. You could barely cut it with a knife. Tofu Mozambique was a few slices of tofu on a huge pile of French fries. Very subpar, especially for the price they charge. Customer service was not the best either. There were two available tables, one by the door, another by the window. They sat us by the door and refused to move us when we asked for a window table. I thought restaurant business was all about customer service. Will not come back, would not recommend",Sassafras,"688 Broadway Somerville, MA 02144"
6,4,"Third time's the charm. Â I had the Big Mac and my boyfriend had the Supreme pizza. Â This time, the pizza was delicious. Â The Big Mac was alright-- about as good as a meat-free Big Mac could be. Â And the cake was delicious again.",Sassafras,"688 Broadway Somerville, MA 02144"
7,5,"One of the best things about Eat At Jumbo's and now Sassafras are all the ""meat"" options. When looking for vegetarian-friendly meals, you often get stuck with eggplant parmesan or a salad, but not here. You can get a chicken sandwich, chorizo, ribs, Italian sausage, and so much more! Really creative vegan menu (and yes, we checked- it's all fake meat!). Looking forward to watching this new restaurant grow.",Sassafras,"688 Broadway Somerville, MA 02144"
8,5,"First of all, super awesome menu. Hard to find extensive Vegan/vegetarian choices that taste good, and I was pleasantly surprised. The chicken and waffles was awesome, and my boyfriend had the southern fried chicken and biscuits. We shared a salad and had a cinnamon roll and a double chocolate ganache and Oreo truffle cake made in house for dessert -- dank!!!Definitely going back and telling all my vegan friends about it",Sassafras,"688 Broadway Somerville, MA 02144"
9,5,Today was my first time here and this place had me lost for words. Not only was their food out of this world amazing but their unique design in the restaurant itself and their chopping board plates doesn't go without notice. They have the friendliest staff I've ever met and their owner is so down to earth. Did I forget to mention how amazing their food is?? Please if you're ever in the area check them out you will not be disappointed!,Sassafras,"688 Broadway Somerville, MA 02144"
